"glacier_name","year","glacier_mass_balance","temperature","precipitation","zonal_wind_speed","relative_humidity","net_solar_radiation"
"Hintereisferner",1979,-0.219,-2.80066166666667,3.64758391666667,1.51356226666667,0.708112475,81.3920233333333
"Hintereisferner",1980,-0.05,-3.0784504825,2.89819991666667,2.01307558333333,0.689741416666667,82.3361941666667
"Hintereisferner",1981,-0.173,-2.80357333333333,3.59836970833333,2.15840576666667,0.692355858333333,86.5673991666667
"Hintereisferner",1982,-1.24,-1.81156441666667,3.206569575,1.385779975,0.6752831,91.0354075
"Hintereisferner",1983,-0.58,-1.413978275,3.37537108333333,1.96670806666667,0.643980866666667,93.98232
"Hintereisferner",1984,0.032,-3.18160976666667,2.85782691666667,1.4557153475,0.667751425,85.2532083333333
"Hintereisferner",1985,-0.574,-2.45224241666667,3.08303579166667,1.9896796525,0.673106116666667,94.7003866666667
"Hintereisferner",1986,-0.732,-2.08755463333333,3.02706025,1.77830373,0.683029791666667,96.6129016666667
"Hintereisferner",1987,-0.717,-2.10649625,3.31876658333333,2.012545775,0.690264241666667,88.6232608333333
"Hintereisferner",1988,-0.945,-1.641675,3.331561,2.16355061666667,0.698389733333333,97.1630791666667
"Hintereisferner",1989,-0.637,-1.563634225,2.74151348333333,1.35606180833333,0.622005308333333,93.6151641666667
"Hintereisferner",1990,-0.995,-1.68082408333333,3.07925805,1.74138129166667,0.644835791666667,98.9127041666667
"Hintereisferner",1991,-1.325,-2.225509,2.98280991666667,1.36498531666667,0.657706808333333,94.0127966666667
"Hintereisferner",1992,-1.12,-1.3829245,3.2154669,1.59708440833333,0.663903333333333,92.1606233333333
"Hintereisferner",1993,-0.57,-1.96988441666667,3.04985358333333,1.98157410833333,0.670929491666667,92.0153375
"Hintereisferner",1994,-1.11,-0.428947566666667,2.75616,2.26448200833333,0.678604783333333,99.9311358333333
"Hintereisferner",1995,-0.46,-1.880732,3.040640125,1.79179340833333,0.696026366666667,91.4944158333333
"Hintereisferner",1996,-0.827,-2.40058355,3.22746431666667,1.31682253333333,0.688039258333334,93.1735016666667
"Hintereisferner",1997,-0.591,-1.05845424166667,3.18183819166667,1.98980876666667,0.65071675,99.652655
"Hintereisferner",1998,-1.232,-1.59689083333333,3.076269175,2.19579260833333,0.658733275,95.079505
"Hintereisferner",1999,-0.861,-1.65386134166667,3.94009125,1.87343853333333,0.704757075,90.7407325
"Hintereisferner",2000,-0.633,-1.20475035,3.96015508333333,2.02206140416667,0.686139233333333,97.66225
"Hintereisferner",2001,-0.173,-1.562230475,3.39186975,1.88009326666667,0.68903045,95.80739
"Hintereisferner",2002,-0.624,-0.652147791666667,3.74301753333333,1.56357538333333,0.676842125,93.9478325
"Hintereisferner",2003,-1.796,-0.982685916666667,2.39619279166667,1.30122494583333,0.605751433333333,106.826648333333
"Hintereisferner",2004,-0.651,-1.34654975,2.73475708333333,1.73430004166667,0.667256433333333,97.8041291666667
"Hintereisferner",2005,-1.022,-1.67002566666667,2.94979308333333,1.48942386666667,0.669111241666667,102.568090833333
"Hintereisferner",2006,-1.493,-0.608922666666667,2.66531641666667,1.70326607916667,0.641180375,101.983810833333
"Hintereisferner",2007,-1.813,-0.441647908333333,3.08344085833333,1.82697036666667,0.670558325,100.8378175
"Hintereisferner",2008,-1.246,-0.636029333333333,3.39969748333333,1.42425511916667,0.690907025,97.4343141666667
"Hintereisferner",2009,-1.182,-1.08445644833333,3.12373558333333,1.68156811666667,0.691917866666667,99.7118083333333
"Hintereisferner",2010,-0.792,-1.84315463333333,3.32197641666667,1.38616621666667,0.71589445,95.06222
"Hintereisferner",2011,-1.423,-0.340759525,2.56619666666667,1.44438158166667,0.6278017,96.8815025
"Hintereisferner",2012,-1.561,-1.1977277,3.38406825,1.69622988333333,0.676506158333333,85.6310533333333
"Hintereisferner",2013,-0.51,-0.988482275,3.63075883333333,1.34213075,0.698864375,92.0806875
"Hintereisferner",2014,-0.122,-0.0098419583333332,3.23580158333333,1.18418634166667,0.708197291666667,90.8448083333333
"Hintereisferner",2015,-1.682,0.292317708333333,2.77667629166667,1.63054023916667,0.635814316666667,98.1920208333334
"Hintereisferner",2016,-1.263,0.0389175250000001,3.45285275,1.456314375,0.678591191666667,99.5238641666667
"Hintereisferner",2017,-1.826,-0.310828833333333,3.32162466666667,2.08780358333333,0.656493716666667,107.154743333333
"Hintereisferner",2018,-1.963,0.1927245,3.30605766666667,1.04659495,0.699491958333333,103.494556666667
"Hintereisferner",2019,-0.68,-0.0890981583333339,4.1115185,1.43161234583333,0.666132358333333,92.5089816666667
"Hintereisferner",2020,-0.97,0.102564491666667,3.55265689166667,1.5634267,0.640285716666667,100.515961666667
"Hintereisferner",2021,-0.668,-0.916923916666667,3.28714791666667,1.764408225,0.645133041666667,101.02782
"Hintereisferner",2022,-3.319,0.575345166666667,3.11467773333333,2.223792525,0.6285424,110.88638
"Hintereisferner",2023,-2.189,0.778513416666667,3.98221983333333,2.17254948333333,0.681554875,101.8388
"Hellstugubreen",1976,-0.715,-3.017433085,2.41244625,5.05476186666667,0.62511115,61.0053683333333
"Hellstugubreen",1977,-0.685,-2.90335809333333,2.41571889166667,4.53871615833333,0.66868305,60.164777
"Hellstugubreen",1978,-0.482,-2.81418144166667,2.88202241666667,5.48150075,0.644283133333333,62.4597923333333
"Hellstugubreen",1979,0.01,-3.70970224166667,3.21591858333333,5.39679408333333,0.657230183333333,50.5868498333333
"Hellstugubreen",1980,-1.197,-2.494584,3.09678883333333,4.38769303333333,0.631042333333333,66.5233265
